Date,AT-Neu,BR-Npw,BW-Gum,BW-Nxr,CA-DBB,CA-SCB,CA-SCC,CH-Cha,CH-Dav,CH-Oe2,CN-Hgu,DE-Dgw,DE-Hte,DE-SfN,DE-Zrk,FI-Hyy,FI-Lom,FI-Si2,FI-Sii,FR-LGt,HK-MPM,ID-Pag,IT-BCi,IT-Cas,JP-BBY,JP-Mse,JP-Swl,KR-CRK,MAERC,MY-MLM,NL-Hor,NZ-Kop,PH-RIf,RU-Ch2,RU-Che,RU-Cok,RU-Fy2,RU-SAM,RU-Vrk,SE-Deg,SE-St1,SE-Sto,UK-LBT,US-A03,US-A10,US-Atq,US-Beo,US-Bes,US-Bgl,US-Bi1,US-Bi2,US-Brw,US-BZB,US-BZF,US-BZS,US-CRT,US-DPW,US-EDN,US-EML,US-Ho1,US-HRA,US-HRC,US-Ics,US-Ivo,US-LA1,US-LA2,US-Los,US-MRM,US-Myb,US-NC4,US-NGB,US-NGC,US-ORv,US-OWC,US-PFa,US-Snd,US-Sne,US-Srr,US-StJ,US-Tw1,US-Tw3,US-Tw4,US-Tw5,US-Twt,US-Uaf,US-WPT
3/21/2000,83,NA,NA,NA,NA,64,63,0,74,0,NA,NA,NA,0,NA,46,81,83,84,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,76,76,NA,NA,74,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,0,0,NA,73,NA,73,NA,NA,NA,NA,29,0,0,77,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,52,NA
3/22/2000,68,NA,NA,NA,NA,74,72,0,NA,0,NA,0,NA,0,NA,31,72,60,58,NA,NA,NA,0,0,85,0,NA,NA,0,NA,0,0,NA,75,77,NA,NA,72,72,NA,NA,NA,NA,NA,NA,NA,66,66,NA,0,0,NA,75,70,75,NA,NA,NA,NA,24,NA,NA,75,66,NA,0,NA,NA,0,NA,66,77,0,NA,NA,0,0,0,NA,0,0,NA,0,0,44,NA
3/23/2000,71,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,77,NA,87,NA,NA,NA,NA,NA,66,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,67,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA
3/24/2000,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,39,72,82,NA,NA,0,NA,0,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,66,65,67,NA,76,NA,81,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/25/2000,NA,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,68,68,62,58,12,NA,NA,NA,71,71,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,69,77,NA,NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA
3/26/2000,NA,0,0,NA,NA,81,75,NA,NA,NA,0,NA,NA,NA,NA,NA,65,79,74,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,69,NA,74,NA,NA,NA,86,55,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,76,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA
3/27/2000,NA,0,0,0,NA,74,67,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,89,86,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,26,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/28/2000,NA,NA,0,NA,NA,NA,NA,NA,74,NA,0,NA,NA,NA,NA,46,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,33,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,54,57,54,NA,NA,NA,NA,NA,0,0,NA,67,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,55,NA
3/29/2000,NA,NA,0,NA,NA,65,68,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,82,85,NA,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,71,69,NA,32,NA,NA,NA,NA,NA,NA,68,NA,69,74,74,0,0,0,NA,NA,NA,NA,0,NA,NA,72,NA,NA,NA,71,68,NA,NA,NA,NA,0,0,74,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,NA
3/30/2000,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,43,83,91,89,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,67,NA,69,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,70,71,70,0,NA,NA,76,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,56,NA
3/31/2000,NA,0,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,75,NA,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA
4/1/2000,NA,0,NA,NA,NA,NA,65,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,73,NA,NA,74,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,0,NA,NA,82,79,82,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,67,NA
4/2/2000,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,63,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,74,NA,NA,NA,74,64,69,NA,NA,NA,NA,NA,NA,NA,0,0,NA,73,67,73,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,0,NA,NA,78,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,47,NA
4/3/2000,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,0,0,NA,NA,NA,NA,NA,NA,80,NA,76,NA,NA,65,72,NA,NA,70,NA,NA,NA,NA,0,0,70,84,80,84,NA,NA,NA,72,NA,NA,NA,79,75,NA,NA,NA,NA,0,NA,NA,80,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,71,NA
4/4/2000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,72,72,NA,NA,NA,NA,77,NA,NA,73,73,0,0,0,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,0,80,79,0,0,NA,NA,0,NA,73,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,NA,NA
4/5/2000,NA,0,0,0,NA,64,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,78,78,NA,NA,NA,76,NA,NA,NA,0,77,77,NA,76,76,NA,NA,NA,77,84,81,84,NA,NA,NA,81,NA,0,0,80,78,0,0,NA,NA,NA,0,76,83,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA
4/6/2000,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,79,73,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,81,80,73,NA,81,NA,NA,NA,NA,NA,79,79,77,79,NA,0,0,0,79,83,79,83,NA,NA,NA,82,NA,0,0,83,83,NA,NA,NA,NA,0,0,79,85,0,NA,NA,NA,NA,0,0,0,0,0,0,0,74,NA
4/7/2000,NA,NA,0,NA,0,NA,NA,0,72,0,0,NA,0,0,NA,45,62,83,NA,0,NA,0,NA,0,NA,NA,13,NA,NA,NA,NA,0,NA,81,NA,NA,NA,64,NA,64,58,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,77,NA,NA,NA,NA,79,NA,NA,NA,80,82,0,NA,NA,NA,0,0,NA,84,NA,NA,NA,0,0,0,0,0,0,0,0,0,68,NA
4/8/2000,0,0,NA,0,NA,57,59,0,81,0,0,NA,NA,0,NA,26,66,NA,NA,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,74,79,NA,80,NA,NA,0,0,79,87,79,87,NA,NA,NA,82,NA,0,0,84,85,NA,0,NA,0,0,0,80,81,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,68,NA
4/9/2000,NA,NA,0,0,NA,67,63,NA,NA,NA,0,NA,0,0,0,42,NA,82,85,NA,NA,NA,NA,NA,75,0,NA,NA,0,0,0,NA,NA,83,83,NA,NA,NA,NA,76,NA,NA,NA,80,84,NA,85,85,0,0,0,84,66,NA,66,NA,NA,NA,NA,NA,NA,NA,84,85,0,0,0,NA,0,0,85,86,NA,NA,0,NA,NA,0,0,0,0,0,0,0,NA,NA
4/10/2000,0,0,0,0,0,63,62,0,NA,0,NA,NA,NA,NA,0,49,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,78,77,71,NA,NA,NA,NA,NA,NA,0,80,80,77,84,84,NA,NA,0,80,89,67,89,NA,0,0,84,NA,NA,NA,83,86,NA,0,0,0,0,0,83,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,67,NA
4/11/2000,NA,0,0,NA,0,58,53,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,73,73,NA,NA,NA,NA,NA,NA,NA,NA,81,82,NA,83,83,0,NA,0,82,83,78,83,NA,NA,NA,84,NA,NA,NA,84,86,NA,NA,NA,NA,NA,0,82,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,62,NA
4/12/2000,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,81,81,79,NA,NA,88,NA,NA,NA,NA,80,81,79,81,81,0,NA,NA,81,65,65,65,NA,NA,NA,78,NA,NA,NA,NA,80,0,0,0,NA,NA,NA,81,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,53,NA
4/13/2000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,81,76,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,83,29,NA,NA,NA,68,75,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,86,79,86,NA,NA,NA,83,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/14/2000,0,NA,0,0,NA,72,73,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,66,NA,NA,NA,NA,0,NA,NA,NA,84,83,81,NA,NA,NA,NA,NA,NA,NA,NA,80,81,79,NA,NA,NA,NA,80,84,NA,84,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,80,93,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,61,NA
4/15/2000,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,75,NA,85,NA,NA,NA,NA,65,59,NA,NA,NA,66,NA,NA,NA,0,NA,NA,86,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,94,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA
